Old Order Id,What is wrong,Magento Sku/eCodes_ID,gp_sku/product_sk,
 1008230-54858594,gpsku empty,IC-P-2006-000019,8705S06,
 1008268-20168082,Cannot find PD-W-MI-P-2003-000014,,,
 1008425-44207172,Cannot find PD-W-FL-P-2004-000011,,,
 1008452-52909627,Cannot find PD-W-CT-P-2005-000003,,,
 1008611-78807747,gpsku empty,CA-P-2007-000006,8740SCA07,
 1008682-46579372,Cannot find PD-W-PR-P-2006-000007,,,
 1008940-54525933,gpsku empty,IC-P-2006-000019,8705S06,
 1008959-98069078,Cannot find PD-W-CT-P-2005-000003,,,
 1008960-36254286,Cannot find PD-W-MI-P-2003-000014,,,
 1009028-95598620,Cannot find PD-W-CT-P-2005-000003,,,
 1009465-46601724,gpsku mismatch,PD-M-CO-T-2008-000001,8808P06,8809P06
 1009471-22463014,gpsku mismatch,PD-M-CO-T-2008-000001,8808P06,8809P06
 1009473-22463014,gpsku mismatch,PD-M-CO-T-2008-000001,8808P06,8809P06
 1009481-53027559,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009489-76334198,gpsku mismatch,PD-M-CO-T-2008-000001,8808P06,8809P06
 1009495-88026405,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009501-37107208,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009502-37107208,gpsku mismatch,PD-M-CO-T-2008-000001,8808P06,8809P06
 1009509-73912613,Cannot find PD-W-FL-P-2004-000016,,,
 1009515-54378792,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009527-32380139,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009532-41242481,gpsku mismatch,PD-M-CO-T-2008-000001,8808P06,8809P06
 1009546-34127728,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009573-85821488,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009589-92785815,gpsku empty,IC-P-2003-000014,8780S03,
 1009641-36158001,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009679-68017036,Cannot find PD-W-CT-P-2005-000003,,,
 1009703-36212642,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009718-67665326,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009719-10074117,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009736-43399108,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1009893-31528360,gpsku empty,IC-P-2006-000001,8700S06,
 1009967-14934369,Cannot find PD-W-FL-P-2004-000016,,,
 1009991-94685861,Cannot find PD-W-CT-P-2005-000003,,,
 1010024-25299114,Cannot find PD-W-PR-P-2006-000010,,,
 1010025-25299114,Cannot find PD-W-PR-P-2006-000011,,,
 1010170-25367062,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1010243-37650199,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1010266-93363527,Cannot find PD-W-FL-P-2004-000016,,,
 1010275-10052063,gpsku empty,IC-P-2003-000015,8722S98,
 1010394-18997926,Cannot find PD-W-PR-P-2006-000010,,,
 1010395-18997926,Cannot find PD-W-PR-P-2006-000011,,,
 1010512-98549103,Cannot find PD-W-PR-P-2006-000010,,,
 1010584-91981082,Cannot find PD-W-MI-P-2003-000014,,,
 1010600-96998748,Cannot find PD-W-FL-P-2004-000011,,,
 1010609-44578725,Cannot find PD-W-PR-P-2006-000010,,,
 1010633-68873789,gpsku empty,IC-P-2006-000001,8700S06,
 1010652-79237466,Cannot find PD-W-PR-P-2003-0000007,,,
 1010868-96005641,Cannot find PD-W-FL-P-2004-000011,,,
 1010998-42427458,gpsku empty,IC-P-2003-000016,8722S03,
 1010999-95400212,gpsku mismatch,PD-W-CO-T-2008-000001,8808P06,8809P06
 1011317-41211218,Cannot find PD-W-FL-P-2004-000016,,,
